id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
fVbUVAiLiGgLA_nxBFxyww,thursday-kitchen-new-york,Thursday Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/nXO8M-d-XTamNmc0BpXWtA/o.jpg,False,https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,1396,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'latitude': 40.7275, 'longitude': -73.9838}",[],$$,"{'address1': '424 E 9th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['424 E 9th St', 'New York, NY 10009']}",,,2613.42601480514
J3NT61-AH5d5Gu5tFJhYSw,the-cabin-nyc-new-york-2,The Cabin NYC,https://s3-media2.fl.yelpcdn.com/bphoto/dc54M8OrhvbJLRkuSmdmHw/o.jpg,False,https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,290,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.72393, 'longitude': -73.98383}","['restaurant_reservation', 'delivery', 'pickup']",$$,"{'address1': '205 E 4th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['205 E 4th St', 'New York, NY 10009']}",+12127770454,(212) 777-0454,2240.673403602855
4aF0F8w7yXX9o5_QFky_ig,celestine-brooklyn,Celestine,https://s3-media4.fl.yelpcdn.com/bphoto/J5HuHor_cmVEG6HhQtFeDw/o.jpg,False,https://www.yelp.com/biz/celestine-brooklyn?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,226,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 40.704676, 'longitude': -73.987975}",['delivery'],$$$,"{'address1': '1 John St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['1 John St', 'Brooklyn, NY 11201']}",+17185225356,(718) 522-5356,539.4069533813018
q11TljTQd33XCWlVoPyRqg,the-osprey-brooklyn,The Osprey,https://s3-media1.fl.yelpcdn.com/bphoto/38J6wCRITFIWiRtWhE_sJw/o.jpg,False,https://www.yelp.com/biz/the-osprey-brooklyn?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,232,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 40.702241, 'longitude': -73.995539}",['delivery'],$$,"{'address1': '60 Furman St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['60 Furman St', 'Brooklyn, NY 11201']}",+13476962505,(347) 696-2505,367.7475436977597
QhE50zhSMnQaudpHW1jp7g,the-tyger-new-york-2,The Tyger,https://s3-media2.fl.yelpcdn.com/bphoto/xdyC5Z_denJ-lBlR1dlqhw/o.jpg,False,https://www.yelp.com/biz/the-tyger-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,132,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 40.71888, 'longitude': -73.99951}","['delivery', 'pickup']",,"{'address1': '1 Howard St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['1 Howard St', 'New York, NY 10013']}",+16464767566,(646) 476-7566,1558.0214279215886
ETgJqJHV7BW6pIr9Ox74sA,amélie-new-york,Amélie,https://s3-media4.fl.yelpcdn.com/bphoto/cSDgVuPMnJgMLTrTNSEXug/o.jpg,False,https://www.yelp.com/biz/am%C3%A9lie-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,2733,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 40.7327, 'longitude': -73.99766}","['delivery', 'pickup']",$$,"{'address1': '22 W 8th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['22 W 8th St', 'New York, NY 10011']}",+12125332962,(212) 533-2962,3038.8699032940094
-Gc5sTFxoXM3Tiv_dkSJZg,cecconis-dumbo-brooklyn,Cecconi's Dumbo,https://s3-media1.fl.yelpcdn.com/bphoto/IBLvIwCEjW-CiJUc6fo5Ng/o.jpg,False,https://www.yelp.com/biz/cecconis-dumbo-brooklyn?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,791,"[{'alias': 'italian', 'title': 'Italian'}]",3.5,"{'latitude': 40.7033063330116, 'longitude': -73.9916549604523}",['delivery'],$$$,"{'address1': '55 Water St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['55 Water St', 'Brooklyn, NY 11201']}",+17186503900,(718) 650-3900,325.5822990331506
6Ct7OeTRn4caY9g0swFBsw,la-contenta-new-york,La Contenta,https://s3-media2.fl.yelpcdn.com/bphoto/FwZAyPgdKdPGQ8aAGKh3-w/o.jpg,False,https://www.yelp.com/biz/la-contenta-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,788,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 40.71873, 'longitude': -73.98691}","['delivery', 'pickup']",$$,"{'address1': '102 Norfolk St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['102 Norfolk St', 'New York, NY 10002']}",+12124324180,(212) 432-4180,1605.0692537545654
ysqgdbSrezXgVwER2kQWKA,julianas-brooklyn-3,Juliana's,https://s3-media2.fl.yelpcdn.com/bphoto/clscwgOF9_Ecq-Rwsq7jyQ/o.jpg,False,https://www.yelp.com/biz/julianas-brooklyn-3?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,2310,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 40.70274718768062, 'longitude': -73.99343490196397}",['delivery'],$$,"{'address1': '19 Old Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['19 Old Fulton St', 'Brooklyn, NY 11201']}",+17185966700,(718) 596-6700,308.56984360837544
axqp3pGJXnTLgq2QrPyDyQ,benemon-new-york,Benemon,https://s3-media2.fl.yelpcdn.com/bphoto/qYGlL-jKKWmMthi05ae_iA/o.jpg,False,https://www.yelp.com/biz/benemon-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,592,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'latitude': 40.72551, 'longitude': -73.98838}","['delivery', 'pickup']",$$,"{'address1': '108 E 4th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['108 E 4th St', 'New York, NY 10003']}",+12126143006,(212) 614-3006,2289.2038585586733
nHMDOIX32dGbfpuNUwsLNQ,almar-brooklyn-2,AlMar,https://s3-media3.fl.yelpcdn.com/bphoto/_EoXWmBYT1-X--xHq0oUTw/o.jpg,False,https://www.yelp.com/biz/almar-brooklyn-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,453,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.702662, 'longitude': -73.989177}","['delivery', 'pickup']",$$,"{'address1': '111 Front St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['111 Front St', 'Brooklyn, NY 11201']}",+17188555288,(718) 855-5288,530.8013177444826
0CjK3esfpFcxIopebzjFxA,joes-shanghai-new-york-2,Joe's Shanghai,https://s3-media4.fl.yelpcdn.com/bphoto/KRvabBPGaQikcpSD6vO2bg/o.jpg,False,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,6314,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,"{'latitude': 40.7156608, 'longitude': -73.9967012}","['delivery', 'pickup']",$$,"{'address1': '46 Bowery St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['46 Bowery St', 'New York, NY 10013']}",+12122338888,(212) 233-8888,1153.9482385806896
MphfKkYFEe0BDQ6hZ0A5fA,gelso-and-grand-new-york,Gelso & Grand,https://s3-media3.fl.yelpcdn.com/bphoto/hkiNG-bPWX459H2KIBrsvA/o.jpg,False,https://www.yelp.com/biz/gelso-and-grand-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,1014,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 40.7194089547259, 'longitude': -73.9973777877722}","['restaurant_reservation', 'delivery', 'pickup']",$$,"{'address1': '186 Grand St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['186 Grand St', 'New York, NY 10013']}",+12122261600,(212) 226-1600,1574.3490321455226
WG639VkTjmK5dzydd1BBJA,rubirosa-new-york-2,Rubirosa,https://s3-media4.fl.yelpcdn.com/bphoto/LuSzR8cpVQRofXOT_bMi1A/o.jpg,False,https://www.yelp.com/biz/rubirosa-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,2375,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 40.722766, 'longitude': -73.996233}","['delivery', 'pickup']",$$,"{'address1': '235 Mulberry St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['235 Mulberry St', 'New York, NY 10012']}",+12129650500,(212) 965-0500,1932.9467701334759
3xTQT7qjZJIxc-eBiFMerQ,1803-new-york,1803,https://s3-media3.fl.yelpcdn.com/bphoto/f6_ZYxoZGbyGsCn6m_auog/o.jpg,False,https://www.yelp.com/biz/1803-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,488,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 40.715498, 'longitude': -74.007178}","['restaurant_reservation', 'delivery', 'pickup']",$$,"{'address1': '82 Reade St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['82 Reade St', 'New York, NY 10007']}",+12122673000,(212) 267-3000,1558.541688391669
X8ZS-dgiMIJvhwf9SaDnjw,wah-fung-no-1-new-york-2,Wah Fung No 1,https://s3-media3.fl.yelpcdn.com/bphoto/oMriteKj4yYHMmb8myOgJA/o.jpg,False,https://www.yelp.com/biz/wah-fung-no-1-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,1570,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.5,"{'latitude': 40.71735, 'longitude': -73.99457}",['delivery'],$,"{'address1': '79 Chrystie St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['79 Chrystie St', 'New York, NY 10002']}",+12129255175,(212) 925-5175,1323.2851807067286
hNFe8WhCibrqT4sFcZmAgw,kong-sihk-tong-港食堂-new-york,Kong Sihk Tong 港食堂,https://s3-media1.fl.yelpcdn.com/bphoto/z94Swcbxg1QmYJcsJeeqrg/o.jpg,False,https://www.yelp.com/biz/kong-sihk-tong-%E6%B8%AF%E9%A3%9F%E5%A0%82-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,313,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hkcafe', 'title': 'Hong Kong Style Cafe'}]",4.0,"{'latitude': 40.71542, 'longitude': -73.99813}","['delivery', 'pickup']",$,"{'address1': '65 Bayard St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['65 Bayard St', 'New York, NY 10013']}",+16468506140,(646) 850-6140,1153.870812287678
ULt3kmA0_hbZ3j6cMORCaA,root-and-bone-new-york,Root & Bone,https://s3-media2.fl.yelpcdn.com/bphoto/wvua8sLOp181T_Sb41MLJg/o.jpg,False,https://www.yelp.com/biz/root-and-bone-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VYGm0sk0aHdKKGyXs5PMrA,1633,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}]",4.0,"{'latitude': 40.7228079872831, 'longitude': -73.9833535829059}","['delivery', 'pickup']",$$,"{'address1': '200 E 3rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['200 E 3rd St', 'New York, NY 10009']}",+16466827080,(646) 682-7080,2139.552340132144
