id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,price,hours,transactions,special_hours,messaging
fVbUVAiLiGgLA_nxBFxyww,thursday-kitchen-new-york,Thursday Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/nXO8M-d-XTamNmc0BpXWtA/o.jpg,True,False,https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,,,1396,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'address1': '424 E 9th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['424 E 9th St', 'New York, NY 10009'], 'cross_streets': 'East 9th St & Avenue A'}","{'latitude': 40.7275, 'longitude': -73.9838}","['https://s3-media4.fl.yelpcdn.com/bphoto/nXO8M-d-XTamNmc0BpXWtA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/CJ4E1ohD2aAdW7-JNyqzpg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/mdDaZxgOoWKXBdXsEdXjsQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],"[{'date': '2021-11-25', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}]",
J3NT61-AH5d5Gu5tFJhYSw,the-cabin-nyc-new-york-2,The Cabin NYC,https://s3-media2.fl.yelpcdn.com/bphoto/dc54M8OrhvbJLRkuSmdmHw/o.jpg,True,False,https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+12127770454,(212) 777-0454,290,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'address1': '205 E 4th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['205 E 4th St', 'New York, NY 10009'], 'cross_streets': 'Avenue B & Avenue A'}","{'latitude': 40.72393, 'longitude': -73.98383}","['https://s3-media2.fl.yelpcdn.com/bphoto/dc54M8OrhvbJLRkuSmdmHw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/lpIIpCb9gS1s4nElUwzw-A/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/Sg0EcaKB1sukemmjf9WVQA/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['delivery', 'restaurant_reservation', 'pickup']",,
4aF0F8w7yXX9o5_QFky_ig,celestine-brooklyn,Celestine,https://s3-media4.fl.yelpcdn.com/bphoto/J5HuHor_cmVEG6HhQtFeDw/o.jpg,True,False,https://www.yelp.com/biz/celestine-brooklyn?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+17185225356,(718) 522-5356,226,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'address1': '1 John St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['1 John St', 'Brooklyn, NY 11201'], 'cross_streets': 'Pearl St & Adams St'}","{'latitude': 40.704676, 'longitude': -73.987975}","['https://s3-media4.fl.yelpcdn.com/bphoto/J5HuHor_cmVEG6HhQtFeDw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/yeAezsqQ2cpc7IMinEa10g/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/A6sYYeHTQGtFCPV22igK8w/o.jpg']",$$$,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",['delivery'],,
q11TljTQd33XCWlVoPyRqg,the-osprey-brooklyn,The Osprey,https://s3-media1.fl.yelpcdn.com/bphoto/38J6wCRITFIWiRtWhE_sJw/o.jpg,True,False,https://www.yelp.com/biz/the-osprey-brooklyn?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+13476962505,(347) 696-2505,232,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'address1': '60 Furman St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['60 Furman St', 'Brooklyn, NY 11201'], 'cross_streets': 'Doughty St'}","{'latitude': 40.702241, 'longitude': -73.995539}","['https://s3-media1.fl.yelpcdn.com/bphoto/38J6wCRITFIWiRtWhE_sJw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/kwlyMi4cASfqcvEl0Mmb_w/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/o7s0vlHM8wNKohm_a7HdfA/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",['delivery'],,
QhE50zhSMnQaudpHW1jp7g,the-tyger-new-york-2,The Tyger,https://s3-media2.fl.yelpcdn.com/bphoto/xdyC5Z_denJ-lBlR1dlqhw/o.jpg,True,False,https://www.yelp.com/biz/the-tyger-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+16464767566,(646) 476-7566,132,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'address1': '1 Howard St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['1 Howard St', 'New York, NY 10013'], 'cross_streets': 'Lafayette St & Centre St'}","{'latitude': 40.71888, 'longitude': -73.99951}","['https://s3-media2.fl.yelpcdn.com/bphoto/xdyC5Z_denJ-lBlR1dlqhw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/xBwW93vLeGaJEsU7HtkyQg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/GsMISaOIsIwg5YaG55sSqg/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['delivery', 'pickup']",,
ETgJqJHV7BW6pIr9Ox74sA,amélie-new-york,Amélie,https://s3-media4.fl.yelpcdn.com/bphoto/cSDgVuPMnJgMLTrTNSEXug/o.jpg,True,False,https://www.yelp.com/biz/am%C3%A9lie-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+12125332962,(212) 533-2962,2733,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'address1': '22 W 8th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['22 W 8th St', 'New York, NY 10011'], 'cross_streets': '5th Ave & Mac Dougal St'}","{'latitude': 40.7327, 'longitude': -73.99766}","['https://s3-media4.fl.yelpcdn.com/bphoto/cSDgVuPMnJgMLTrTNSEXug/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/vmFY7h5byVrl5b1u97iWrg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/zGH871vKqT6-jVvbvabTgg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['delivery', 'pickup']",,
-Gc5sTFxoXM3Tiv_dkSJZg,cecconis-dumbo-brooklyn,Cecconi's Dumbo,https://s3-media1.fl.yelpcdn.com/bphoto/IBLvIwCEjW-CiJUc6fo5Ng/o.jpg,True,False,https://www.yelp.com/biz/cecconis-dumbo-brooklyn?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+17186503900,(718) 650-3900,791,"[{'alias': 'italian', 'title': 'Italian'}]",3.5,"{'address1': '55 Water St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['55 Water St', 'Brooklyn, NY 11201'], 'cross_streets': ''}","{'latitude': 40.7033063330116, 'longitude': -73.9916549604523}","['https://s3-media1.fl.yelpcdn.com/bphoto/IBLvIwCEjW-CiJUc6fo5Ng/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/2njKF6lDVp4P1wXszvB_rg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/HkjbGNqRM-tIpOXeCmh2sg/o.jpg']",$$$,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",['delivery'],,
6Ct7OeTRn4caY9g0swFBsw,la-contenta-new-york,La Contenta,https://s3-media2.fl.yelpcdn.com/bphoto/FwZAyPgdKdPGQ8aAGKh3-w/o.jpg,True,False,https://www.yelp.com/biz/la-contenta-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+12124324180,(212) 432-4180,788,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'address1': '102 Norfolk St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['102 Norfolk St', 'New York, NY 10002'], 'cross_streets': 'Rivington St & Delancey St'}","{'latitude': 40.71873, 'longitude': -73.98691}","['https://s3-media2.fl.yelpcdn.com/bphoto/FwZAyPgdKdPGQ8aAGKh3-w/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/BkFe_N0Ri2FXiCzoponVWw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/c4GEeNy7AzjXpgdqtthTPQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1500', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1500', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1500', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['pickup', 'delivery']",,"{'url': 'https://www.yelp.com/raq/6Ct7OeTRn4caY9g0swFBsw?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA#popup%3Araq', 'use_case_text': 'Message the Business'}"
ysqgdbSrezXgVwER2kQWKA,julianas-brooklyn-3,Juliana's,https://s3-media2.fl.yelpcdn.com/bphoto/clscwgOF9_Ecq-Rwsq7jyQ/o.jpg,True,False,https://www.yelp.com/biz/julianas-brooklyn-3?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+17185966700,(718) 596-6700,2310,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'address1': '19 Old Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['19 Old Fulton St', 'Brooklyn, NY 11201'], 'cross_streets': ''}","{'latitude': 40.70274718768062, 'longitude': -73.99343490196397}","['https://s3-media2.fl.yelpcdn.com/bphoto/clscwgOF9_Ecq-Rwsq7jyQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/-zAVNXSKJDQNYZQYWbqNRA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/Ielsk99frSq8ZgZtWmMV7Q/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '1515', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '1515', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '1515', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '1515', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '1515', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1515', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1515', 'day': 6}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",['delivery'],,
axqp3pGJXnTLgq2QrPyDyQ,benemon-new-york,Benemon,https://s3-media2.fl.yelpcdn.com/bphoto/qYGlL-jKKWmMthi05ae_iA/o.jpg,True,False,https://www.yelp.com/biz/benemon-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+12126143006,(212) 614-3006,592,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'address1': '108 E 4th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['108 E 4th St', 'New York, NY 10003'], 'cross_streets': '1st Ave & 12th St'}","{'latitude': 40.72551, 'longitude': -73.98838}","['https://s3-media2.fl.yelpcdn.com/bphoto/qYGlL-jKKWmMthi05ae_iA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/VOJ1AdcBdml8gNlmb5Ey1Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/n09P3icF8InnQAefBk5ZqQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['delivery', 'pickup']",,
nHMDOIX32dGbfpuNUwsLNQ,almar-brooklyn-2,AlMar,https://s3-media3.fl.yelpcdn.com/bphoto/_EoXWmBYT1-X--xHq0oUTw/o.jpg,True,False,https://www.yelp.com/biz/almar-brooklyn-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+17188555288,(718) 855-5288,453,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'address1': '111 Front St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['111 Front St', 'Brooklyn, NY 11201'], 'cross_streets': 'Washington St & Adams St'}","{'latitude': 40.702662, 'longitude': -73.989177}","['https://s3-media3.fl.yelpcdn.com/bphoto/_EoXWmBYT1-X--xHq0oUTw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/4825e4smnu5nDe8UnVveRQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/qVVAhPi7-PZus7R2NCv5ag/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2230', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2230', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2230', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2230', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['pickup', 'delivery']",,
0CjK3esfpFcxIopebzjFxA,joes-shanghai-new-york-2,Joe's Shanghai,https://s3-media4.fl.yelpcdn.com/bphoto/KRvabBPGaQikcpSD6vO2bg/o.jpg,True,False,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VYGm0sk0aHdKKGyXs5PMrA,+12122338888,(212) 233-8888,6314,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,"{'address1': '46 Bowery St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['46 Bowery St', 'New York, NY 10013'], 'cross_streets': 'Canal St & Bayard St'}","{'latitude': 40.7156608, 'longitude': -73.9967012}","['https://s3-media4.fl.yelpcdn.com/bphoto/KRvabBPGaQikcpSD6vO2bg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/Rf8yR3xdxgTFvAqdCGx80A/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/AY3jCGdHL3eFxicQkXWSZg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['pickup', 'delivery']",,
